claim_id,file_line,value,macro_or_literal,provenance,configuration,status,claim_context
CL0205,presentations/v6/talk_v6.tex:317,10,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:317,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}     MIP through $H=10\mm$ EJ-230: $\Delta E = 2.0\,\text{MeV}$.\\[4pt]"
CL0206,presentations/v6/talk_v6.tex:317,2.0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:317,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}     MIP through $H=10\mm$ EJ-230: $\Delta E = 2.0\,\text{MeV}$.\\[4pt]"
CL0207,presentations/v6/talk_v6.tex:322,19,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:322,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       Produced & 19\,400 & $Y \times \Delta E$ \\"
CL0208,presentations/v6/talk_v6.tex:322,400,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:322,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       Produced & 19\,400 & $Y \times \Delta E$ \\"
CL0209,presentations/v6/talk_v6.tex:323,1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:323,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       TIR toward 1 end & 5\,320 & $f_\text{TIR/end}$ \\"
CL0210,presentations/v6/talk_v6.tex:323,5,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:323,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       TIR toward 1 end & 5\,320 & $f_\text{TIR/end}$ \\"
CL0211,presentations/v6/talk_v6.tex:323,320,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:323,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       TIR toward 1 end & 5\,320 & $f_\text{TIR/end}$ \\"
CL0212,presentations/v6/talk_v6.tex:324,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:324,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       Bulk survival & 2\,969 & $e^{-700/1200}$ \\"
CL0213,presentations/v6/talk_v6.tex:324,969,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:324,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       Bulk survival & 2\,969 & $e^{-700/1200}$ \\"
CL0214,presentations/v6/talk_v6.tex:324,-700,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:324,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       Bulk survival & 2\,969 & $e^{-700/1200}$ \\"
CL0215,presentations/v6/talk_v6.tex:324,1200,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:324,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       Bulk survival & 2\,969 & $e^{-700/1200}$ \\"
CL0216,presentations/v6/talk_v6.tex:325,1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:325,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       At SiPM & 1\,425 & cov. $0.48$ \\"
CL0217,presentations/v6/talk_v6.tex:325,425,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:325,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       At SiPM & 1\,425 & cov. $0.48$ \\"
CL0218,presentations/v6/talk_v6.tex:325,0.48,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:325,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       At SiPM & 1\,425 & cov. $0.48$ \\"
CL0219,presentations/v6/talk_v6.tex:326,0.40,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:326,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       Detected (PDE 0.40) & \textbf{570} & $\times 0.40$ \\"
CL0220,presentations/v6/talk_v6.tex:326,570,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:326,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       Detected (PDE 0.40) & \textbf{570} & $\times 0.40$ \\"
CL0221,presentations/v6/talk_v6.tex:326,0.40,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:326,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       Detected (PDE 0.40) & \textbf{570} & $\times 0.40$ \\"
CL0222,presentations/v6/talk_v6.tex:328,701,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:328,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       \textbf{Geant4} & \textbf{701} & $+23\%$ \\"
CL0223,presentations/v6/talk_v6.tex:328,+23,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:328,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}       \textbf{Geant4} & \textbf{701} & $+23\%$ \\"
CL0224,presentations/v6/talk_v6.tex:331,23,literal,"/home/rrios/ej200_exec26_20260909/build_nightly_20260910/ab_comparison.meta.json; numerator/configuration differs: napkin surplus is not an isolated reflector counterfactual, END depletion is not TOP hit fraction","Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}     \alert{23\% surplus = reflector-recovered photons.}\\"
CL0225,presentations/v6/talk_v6.tex:336,\includegraphics[width=\linewidth]{figs/#1},\anafig,No independently matching source located; deck declaration only: presentations/v6/talk_v6.tex:20,Configuration not established from an independent source,unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}     \anafig{fig_bulk_survival}\\[-2pt]"
CL0226,presentations/v6/talk_v6.tex:343,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:343,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}     {\scriptsize\raggedright Bulk survival $e^{-L/(2\lambda)}$ at $x=0$ ($L/2=700\mm$).\par}"
CL0227,presentations/v6/talk_v6.tex:343,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:343,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}     {\scriptsize\raggedright Bulk survival $e^{-L/(2\lambda)}$ at $x=0$ ($L/2=700\mm$).\par}"
CL0228,presentations/v6/talk_v6.tex:343,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:343,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}     {\scriptsize\raggedright Bulk survival $e^{-L/(2\lambda)}$ at $x=0$ ($L/2=700\mm$).\par}"
CL0229,presentations/v6/talk_v6.tex:343,700,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:343,"Context: {frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}",unverified,"\begin{frame}{Napkin Photon Budget: Where Do the 19\,400 Photons Go?}     {\scriptsize\raggedright Bulk survival $e^{-L/(2\lambda)}$ at $x=0$ ($L/2=700\mm$).\par}"
CL0230,presentations/v6/talk_v6.tex:355,3800,literal,"/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; geometry/analytic declaration, not measured transport efficiency",Analytical geometry/assumptions,unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\lambda_\text{att}$ [mm] & 3800 & 1600 & \textbf{1200} \\
CL0231,presentations/v6/talk_v6.tex:355,1600,literal,"/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; geometry/analytic declaration, not measured transport efficiency",Analytical geometry/assumptions,unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\lambda_\text{att}$ [mm] & 3800 & 1600 & \textbf{1200} \\
CL0232,presentations/v6/talk_v6.tex:355,1200,literal,"/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; geometry/analytic declaration, not measured transport efficiency",Analytical geometry/assumptions,unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\lambda_\text{att}$ [mm] & 3800 & 1600 & \textbf{1200} \\
CL0233,presentations/v6/talk_v6.tex:356,2.1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:356,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\tau_\text{decay}$ [ns]  & 2.1  & 1.8  & \textbf{1.5} \\
CL0234,presentations/v6/talk_v6.tex:356,1.8,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:356,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\tau_\text{decay}$ [ns]  & 2.1  & 1.8  & \textbf{1.5} \\
CL0235,presentations/v6/talk_v6.tex:356,1.5,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:356,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\tau_\text{decay}$ [ns]  & 2.1  & 1.8  & \textbf{1.5} \\
CL0236,presentations/v6/talk_v6.tex:357,0.9,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:357,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\tau_\text{rise}$ [ns]   & 0.9  & 0.7  & \textbf{0.5} \\
CL0237,presentations/v6/talk_v6.tex:357,0.7,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:357,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\tau_\text{rise}$ [ns]   & 0.9  & 0.7  & \textbf{0.5} \\
CL0238,presentations/v6/talk_v6.tex:357,0.5,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:357,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\tau_\text{rise}$ [ns]   & 0.9  & 0.7  & \textbf{0.5} \\
CL0239,presentations/v6/talk_v6.tex:358,10000,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:358,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       Yield [ph/MeV]            & 10000 & 10400 & 9700 \\
CL0240,presentations/v6/talk_v6.tex:358,10400,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:358,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       Yield [ph/MeV]            & 10000 & 10400 & 9700 \\
CL0241,presentations/v6/talk_v6.tex:358,9700,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:358,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       Yield [ph/MeV]            & 10000 & 10400 & 9700 \\
CL0242,presentations/v6/talk_v6.tex:359,1.58,literal,"/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; geometry/analytic declaration, not measured transport efficiency",Analytical geometry/assumptions,valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $n$                       & 1.58  & 1.58  & 1.58 \\
CL0243,presentations/v6/talk_v6.tex:359,1.58,literal,"/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; geometry/analytic declaration, not measured transport efficiency",Analytical geometry/assumptions,valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $n$                       & 1.58  & 1.58  & 1.58 \\
CL0244,presentations/v6/talk_v6.tex:359,1.58,literal,"/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; geometry/analytic declaration, not measured transport efficiency",Analytical geometry/assumptions,valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $n$                       & 1.58  & 1.58  & 1.58 \\
CL0245,presentations/v6/talk_v6.tex:361,1311,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:361,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $N_\text{pe}$/end (G4)    & 1311  & 941  & \textbf{701} \\
CL0246,presentations/v6/talk_v6.tex:361,941,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:361,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $N_\text{pe}$/end (G4)    & 1311  & 941  & \textbf{701} \\
CL0247,presentations/v6/talk_v6.tex:361,701,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:361,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $N_\text{pe}$/end (G4)    & 1311  & 941  & \textbf{701} \\
CL0248,presentations/v6/talk_v6.tex:362,54.86,\RessigmabxzEROejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 54.86183301; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=0 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\sigma_t$ ($x{=}0$) [ps]  & \RessigmabxzEROejA & \RessigmabxzEROejB & \textbf{\RessigmabxzEROejC}$^{\dagger}$ \\
CL0249,presentations/v6/talk_v6.tex:362,53.36,\RessigmabxzEROejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 53.35502677; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=0 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\sigma_t$ ($x{=}0$) [ps]  & \RessigmabxzEROejA & \RessigmabxzEROejB & \textbf{\RessigmabxzEROejC}$^{\dagger}$ \\
CL0250,presentations/v6/talk_v6.tex:362,50.49,\RessigmabxzEROejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 50.49441453; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=0 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\sigma_t$ ($x{=}0$) [ps]  & \RessigmabxzEROejA & \RessigmabxzEROejB & \textbf{\RessigmabxzEROejC}$^{\dagger}$ \\
CL0251,presentations/v6/talk_v6.tex:362,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:362,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\sigma_t$ ($x{=}0$) [ps]  & \RessigmabxzEROejA & \RessigmabxzEROejB & \textbf{\RessigmabxzEROejC}$^{\dagger}$ \\
CL0252,presentations/v6/talk_v6.tex:363,52.72,\RessigmabmEANejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 52.71762714; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=-600..600 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\sigma_t$ (bar mean) [ps] & \RessigmabmEANejA  & \RessigmabmEANejB  & \textbf{\RessigmabmEANejC} \\
CL0253,presentations/v6/talk_v6.tex:363,53.57,\RessigmabmEANejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 53.57114995; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=-600..600 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\sigma_t$ (bar mean) [ps] & \RessigmabmEANejA  & \RessigmabmEANejB  & \textbf{\RessigmabmEANejC} \\
CL0254,presentations/v6/talk_v6.tex:363,51.95,\RessigmabmEANejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 51.95163056; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=-600..600 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}       $\sigma_t$ (bar mean) [ps] & \RessigmabmEANejA  & \RessigmabmEANejB  & \textbf{\RessigmabmEANejC} \\
CL0255,presentations/v6/talk_v6.tex:368,"50.49\,\text{ps}",\RessigmaxzEROejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 50.49441453; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=0 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}     $x=0$: EJ-230 (\RessigmaxzEROejC) $<$ EJ-204 (\RessigmaxzEROejB) $<$ EJ-200 (\RessigmaxzEROejA).\\
CL0256,presentations/v6/talk_v6.tex:368,"53.36\,\text{ps}",\RessigmaxzEROejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 53.35502677; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=0 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}     $x=0$: EJ-230 (\RessigmaxzEROejC) $<$ EJ-204 (\RessigmaxzEROejB) $<$ EJ-200 (\RessigmaxzEROejA).\\
CL0257,presentations/v6/talk_v6.tex:368,"54.86\,\text{ps}",\RessigmaxzEROejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 54.86183301; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=0 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}     $x=0$: EJ-230 (\RessigmaxzEROejC) $<$ EJ-204 (\RessigmaxzEROejB) $<$ EJ-200 (\RessigmaxzEROejA).\\
CL0258,presentations/v6/talk_v6.tex:368,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:368,Context: {frame}{Material Choice: EJ-230 is the Fastest Scintillator Here},unverified,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}     $x=0$: EJ-230 (\RessigmaxzEROejC) $<$ EJ-204 (\RessigmaxzEROejB) $<$ EJ-200 (\RessigmaxzEROejA).\\
CL0259,presentations/v6/talk_v6.tex:369,"51.95\,\text{ps}",\RessigmamEANejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 51.95163056; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=-600..600 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}     Bar mean: EJ-230 (\RessigmamEANejC) $<$ EJ-200 (\RessigmamEANejA) $<$ EJ-204 (\RessigmamEANejB).
CL0260,presentations/v6/talk_v6.tex:369,"52.72\,\text{ps}",\RessigmamEANejA,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej200; scripts/results_macros.py reproduces 52.71762714; historical CSV reproduced, not a new timing simulation.","EJ200, End, N_TOP=0, x=-600..600 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}     Bar mean: EJ-230 (\RessigmamEANejC) $<$ EJ-200 (\RessigmamEANejA) $<$ EJ-204 (\RessigmamEANejB).
CL0261,presentations/v6/talk_v6.tex:369,"53.57\,\text{ps}",\RessigmamEANejB,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej204; scripts/results_macros.py reproduces 53.57114995; historical CSV reproduced, not a new timing simulation.","EJ204, End, N_TOP=0, x=-600..600 mm",valid,\begin{frame}{Material Choice: EJ-230 is the Fastest Scintillator Here}     Bar mean: EJ-230 (\RessigmamEANejC) $<$ EJ-200 (\RessigmamEANejA) $<$ EJ-204 (\RessigmamEANejB).
CL0262,presentations/v6/talk_v6.tex:385,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:385,Context: {frame}{The Geant4 Optical Model (GEN-3)},unverified,\begin{frame}{The Geant4 Optical Model (GEN-3)}     \begin{itemize}\setlength\itemsep{2pt}
CL0263,presentations/v6/talk_v6.tex:386,0.10,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:386,Context: {frame}{The Geant4 Optical Model (GEN-3)},unverified,\begin{frame}{The Geant4 Optical Model (GEN-3)}       \item Explicit \textbf{air gap} ($0.10\mm$) around bar
CL0264,presentations/v6/talk_v6.tex:387,0.05,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:387,Context: {frame}{The Geant4 Optical Model (GEN-3)},unverified,\begin{frame}{The Geant4 Optical Model (GEN-3)}       \item Explicit \textbf{Mylar reflector} ($0.05\mm$) outside air
CL0265,presentations/v6/talk_v6.tex:389,0.95,\Rvikuiti,/home/rrios/ej200_exec26_20260909/build_exec26_phase1b_20260909/run500_ready/tables/directional_states.meta.json; main REFLECTIVITY=0.98 returned 13.371145% forward reflection; historical 0.95 return probability not measured here,Historical REFLECTIVITY coefficient 0.95; not measured reflection probability,unverified,"\begin{frame}{The Geant4 Optical Model (GEN-3)}       \item Air$\to$Mylar: \texttt{CreateBarSkinReflector()} as border surface — \texttt{dielectric\_dielectric}, $R=\Rvikuiti$ constant"
CL0266,presentations/v6/talk_v6.tex:427,1500,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:427,Context: {frame}{The Geant4 Optical Model (GEN-3)},unverified,"\begin{frame}{The Geant4 Optical Model (GEN-3)}     \footnotesize GEN-1 skin surface on bar eliminates TIR entirely → photon deficit ($\times 1500$, see B2)."
CL0267,presentations/v6/talk_v6.tex:434,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:434,Context: {frame}{Geant4 Validates the Napkin},unverified,"\begin{frame}{Geant4 Validates the Napkin}     \textbf{Photon yield at $x=0$, EJ-230:}\\[4pt]"
CL0268,presentations/v6/talk_v6.tex:439,570,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:439,Context: {frame}{Geant4 Validates the Napkin},unverified,\begin{frame}{Geant4 Validates the Napkin}       TIR-guided / end & 570 & — \\
CL0269,presentations/v6/talk_v6.tex:440,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:440,Context: {frame}{Geant4 Validates the Napkin},unverified,\begin{frame}{Geant4 Validates the Napkin}       Reflector-recovered & 0 & — \\
CL0270,presentations/v6/talk_v6.tex:441,570,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:441,Context: {frame}{Geant4 Validates the Napkin},unverified,\begin{frame}{Geant4 Validates the Napkin}       \textbf{Total / end} & \textbf{570} & \textbf{701.3} \\
CL0271,presentations/v6/talk_v6.tex:441,701.3,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:441,Context: {frame}{Geant4 Validates the Napkin},unverified,\begin{frame}{Geant4 Validates the Napkin}       \textbf{Total / end} & \textbf{570} & \textbf{701.3} \\
CL0272,presentations/v6/talk_v6.tex:444,+23,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:444,Context: {frame}{Geant4 Validates the Napkin},unverified,\begin{frame}{Geant4 Validates the Napkin}     $\Delta N_\text{pe}/N_\text{nap} = +23\%$ (END-only).\\[4pt]
CL0273,presentations/v6/talk_v6.tex:445,-17,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:445,Context: {frame}{Geant4 Validates the Napkin},unverified,\begin{frame}{Geant4 Validates the Napkin}     Napkin accuracy: $-17\%$ (predicted deficit).
CL0274,presentations/v6/talk_v6.tex:447,+23,literal,"/home/rrios/ej200_exec26_20260909/build_nightly_20260910/ab_comparison.meta.json; numerator/configuration differs: napkin surplus is not an isolated reflector counterfactual, END depletion is not TOP hit fraction",Context: {frame}{Geant4 Validates the Napkin},unverified,\begin{frame}{Geant4 Validates the Napkin}     Reflector-recovered photons add a systematic $+23\%$ that the napkin cannot predict without knowing $R$.\\[6pt]
CL0275,presentations/v6/talk_v6.tex:451,1500,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:451,Context: {frame}{Geant4 Validates the Napkin},unverified,"\begin{frame}{Geant4 Validates the Napkin}       = \frac{1500\,\text{ps}}{\sqrt{570}} \approx 63\,\text{ps}"
CL0276,presentations/v6/talk_v6.tex:451,570,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:451,Context: {frame}{Geant4 Validates the Napkin},unverified,"\begin{frame}{Geant4 Validates the Napkin}       = \frac{1500\,\text{ps}}{\sqrt{570}} \approx 63\,\text{ps}"
CL0277,presentations/v6/talk_v6.tex:451,63,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:451,Context: {frame}{Geant4 Validates the Napkin},unverified,"\begin{frame}{Geant4 Validates the Napkin}       = \frac{1500\,\text{ps}}{\sqrt{570}} \approx 63\,\text{ps}"
CL0278,presentations/v6/talk_v6.tex:453,53.68\ps,\sigmaENDval,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,"\begin{frame}{Geant4 Validates the Napkin}     Geant4 (hybrid geometry, $N_\text{TOP}=20$, $m=8$): $\sigma_\text{END} = \sigmaENDval$ — within 20\%."
